rawData	tokens	sentiment	Category
Attention.  This Embassy is a proxy for Russia and its troops
Au cours des dernières 24 heures #Ukraine
Audio from Snake Island Ukraine. 13 border guards were stationed there. 18:00 they reported a Russian warship was off the coast. 20:00 the Ukraine gov reported the island had come under heavy bombardment destroying all infrastructure &amp; killing all 13.https://t.co/LAGsCK2xiO	audio snake island ukraine border guard stationed reported warship coast ukraine gov reported island come heavy bombardment destroying infrastructure amp killing	-0.8658	Negative
Aunt Candy @RealCandaceO wants Russia out of the news cycle and for the U.S. government to invade CANADA and overthrow Justin Trudeau. This is the IMBECILE the @GOP wants to sit on the Supreme Court.	aunt candy want russia news cycle u government invade canada overthrow justin trudeau imbecile want sit supreme court	0.1027	Neutral
Aus aktuellem Anlass Why I (German) stand with #Ukraine #Holomodor #Macron #AfD #Putinpudel #Putin https://t.co/FTwZHuQ1YN	au aktuellem anlass german stand ukraine holomodor macron afd putinpudel putin	0.0	Neutral
Aus aktuellem Anlass: #Putin ist nicht das russ.Volk
Auspicious that Israel is so much involved in the Ukraine. Previously
Austin Alarmed by Beijing’s Approval
Austin says Putin now has enough troops on border to use forces against Ukraine | PBS NewsHour https://t.co/C1aLoSZhDk	austin say putin enough troop border use force ukraine pb newshour	0.0	Neutral
Australia	australia	0.0	Neutral
Australia and the United Kingdom have reiterate our absolute support for Ukraine’s sovereignty and territorial integrity.	australia united kingdom reiterate absolute support ukraine sovereignty territorial integrity	0.7964	Positive
Australia will not commit troops to support Ukraine https://t.co/ruiM0tmxQ8	australia commit troop support ukraine	0.2052	Neutral
Australia
Australians are being warned to flee Ukraine or prepare to “shelter in place” after Russia said NATO military build-up caused a “very high” risk of conflict. https://t.co/DLCgDiCrKj	australian warned flee ukraine prepare shelter place russia said nato military buildup caused high risk conflict	-0.6983	Negative
Australians are ordered to leave Ukraine NOW with threat of war with Russia looming - as 100
"\"Austria &amp; Hungary and a supplementary service from the border at Frankfurt/O. https://t.co/BcYh2hm9Sl\"\"	austria amp hungary supplementary service border frankfurto	0.0	Neutral"
Auswärtiges Amt - Mindfuck des Tages:	auswrtiges amt mindfuck de tages	0.0	Neutral
Authorities in Poland
Available options 4 #US
Away from the drums of war a sobre discussion here: Can War In Ukraine Be Avoided? An American-Russian Conversation https://t.co/axrCsdS9xJ via @YouTube	away drum war sobre discussion war ukraine avoided americanrussian conversation via	-0.8807	Negative
Awesome trolling of Putin #StandWithUkraine https://t.co/SBGI8Xjw8T	awesome trolling putin standwithukraine	0.6249	Positive
Awful. But we have to share this. It could be us. #StandWithUkraine #PutinIsaWarCriminal https://t.co/It1O5UP37R	awful share u standwithukraine putinisawarcriminal	0.2023	Neutral
Az Code. Wait. Who will vaccinate Africa? No NATO. The big three need to work together. No invasion. Who will vax the Middle East? Afghanistan? Oil is ending…The 🌎 is furious. Humans will go extinct. No War. Ukraine is sovereign. 😘🥂 https://t.co/V2iW7ktTvN	az code wait vaccinate africa nato big three work together invasion vax middle east afghanistan oil endingthe furious human go extinct war ukraine sovereign	-0.9217	Negative
"\"Azerbaijan/Armenia.\"\"	azerbaijanarmenia	0.0	Neutral"
Azerbaijani composer Firudin Allahverdi has a message of solidarity for Ukraine. Ukrainian son performed on Azerbaijani tar	azerbaijani composer firudin allahverdi message solidarity ukraine ukrainian son performed azerbaijani tar	0.296	Neutral
B.Ed.	bed	0.0	Neutral
BA'	ba	0.0	Neutral
BARTLET	bartlet	0.0	Neutral
BBC Alert! Ukraine conflict: Valery
BBC News - Is Russia preparing to invade Ukraine? And other questions. NATO must move out from Russia bordering countries to avoid war.	bbc news russia preparing invade ukraine question nato move russia bordering country avoid war	-0.7269	Negative
BBC News - Russia-Ukraine crisis: Why Brussels fears Europe is 'closest to war' in decades	bbc news russiaukraine crisis brussels fear europe closest war decade	-0.8957	Negative
